"类型","题目","选项","答案"
"单选题","代收业务在坚持（   ）理念的基础上，通过对收款人、场景、付款人、授权关系的全面管理，以提高支付便捷性和效率为手段，最终达到保障合规、安全，兼顾公众需要，回归“小额便民”的发展目标。","a：支付为民
b：一个民生
c：统一支付
d：便民惠民","a：支付为民"
"多选题","为更有效地实现对员工异常行为的监督和管理，我行针对员工异常行为建立预警机制，预警分为（   ）几个级别。","a：黄色预警
b：蓝色预警
c：橙色预警
d：红色预警","a：黄色预警
c：橙色预警
d：红色预警"
"多选题","全行问责委员会按照机构层级分为：(   )。各级问责委员会依照本制度规定权限对所辖机构违规违纪员工进行问责。","a：总行问责委员会
b：分行（事业部）问责委员会
c：二级分行问责委员会
d：支行问责委员会","a：总行问责委员会
b：分行（事业部）问责委员会
c：二级分行问责委员会"
"单选题","对于属于（   ）的，总行各部门、事业部、分行、附属机构应立即向总行纪检监察室报送。","a：黄色预警
b：红色预警
c：橙色预警
d：蓝色预警","b：红色预警"
"单选题","根据《银行业从业人员职业操守和行为准则》，银行从业人员的以下做法正确的是（   ）。","a：参与非法吸收公众存款
b：非法向在校学生发放贷款
c：为特定客户优于同等条件办理高端信用卡
d：发现泄密事件，立即采取相关措施","d：发现泄密事件，立即采取相关措施"
"多选题","根据《银行业从业人员职业操守和行为准则》，以下说法正确的是（   ）。","a：对残障者或语言存在障碍的客户，银行业从业人员应当尽可能为其提供便利
b：银行业从业人员在受雇期间及离职后，均不得违反法律法规和所在机构关于客户隐私保护的规定，违规泄露任何客户资料和交易信息
c：严禁银行业从业人员为达成交易而隐瞒风险或进行虚假或误导性陈述
d：银行业从业人员应当坚持客户至上、客观公正原则，耐心、礼貌、认真地处理客户投诉，及时作出有效反馈","a：对残障者或语言存在障碍的客户，银行业从业人员应当尽可能为其提供便利
b：银行业从业人员在受雇期间及离职后，均不得违反法律法规和所在机构关于客户隐私保护的规定，违规泄露任何客户资料和交易信息
c：严禁银行业从业人员为达成交易而隐瞒风险或进行虚假或误导性陈述
d：银行业从业人员应当坚持客户至上、客观公正原则，耐心、礼貌、认真地处理客户投诉，及时作出有效反馈"
"单选题","员工异常行为监督管理工作组实行例会办法（事业部分部在当地分行参加例会），例会（   ）召开一次，特殊情况可随时召开。","a：每半年
b：每月
c：每季度
d：每两月","c：每季度"
"单选题","法人金融机构应当以自评估报告和结论为基础，制定或持续调整、完善经（   ）批准的洗钱风险管理政策、控制措施和程序，并关注控制措施的执行情况。","a：董事会
b：监事会
c：高级管理层
d：反洗钱领导小组","c：高级管理层"
"单选题","低风险客户每（   ）年重新评级一次。","a：1
b：2
c：3
d：4","b：2"
"单选题","我行客户身份识别工作包含哪些个方面，实施全生命周期管理？（   ）","a：首次识别、重新识别
b：初次识别、再次识别
c：初次识别、持续识别、重新识别
d：持续识别、重新识别、中止关系","c：初次识别、持续识别、重新识别"
"多选题","《金融机构客户身份识别和客户身份资料及交易记录保存管理办法》规定：金融机构应当按照（   ）的原则，妥善保存客户身份资料和交易记录，确保能足以重现每项交易，以提供识别客户身份、监测分析交易情况、调查可疑交易活动和查处洗钱案件所需的信息。","a：安全
b：准确
c：完整
d：保密","a：安全
b：准确
c：完整
d：保密"
"单选题","根据《银行业从业人员职业操守和行为准则》，以下说法错误的是（   ）。","a：银行业从业人员应当真诚对待客户，珍视声誉、信守承诺
b：银行从业人员应该自觉抵制违法违规违纪行为，坚持不碰政治底线、不越纪律红线
c：银行从业人员应该以服务国家战略、服务虚拟经济、服务客户为天职
d：银行业从业人员应当借助科技赋能，竭诚为客户和社会提供规范、快捷、高效的金融服务。","c：银行从业人员应该以服务国家战略、服务虚拟经济、服务客户为天职"
"多选题","根据《银行业从业人员职业操守和行为准则》，以下做法错误的是（   ）。","a：销售或推介未经所在机构审批的产品
b：代销未持有金融牌照机构发行的产品
c：针对特定客户非公开销售优于其他同类客户的存款产品
d：严格执行贷前调查、贷时审查和贷后检查等“三查”工作","a：销售或推介未经所在机构审批的产品
b：代销未持有金融牌照机构发行的产品
c：针对特定客户非公开销售优于其他同类客户的存款产品"
"多选题","我行对于哪类名单客户必须要经过分行级高级管理层签字审批后，才可以开户或建立业务关系？（   ）","a：特殊名单
b：外国政要以及其父母、配偶、子女等近亲属及其他关系密切的人员
c：高危国家与地区名单中的“高风险”等级国家/地区的客户
d：灰名单","b：外国政要以及其父母、配偶、子女等近亲属及其他关系密切的人员
c：高危国家与地区名单中的“高风险”等级国家/地区的客户"
"多选题","可疑交易符合哪些情形的，金融机构应当在向中国反洗钱监测分析中心提交可疑交易报告的同时，以电子形式或书面形式向所在地中国人民银行或者其分支机构报告，并配合反洗钱调查？（   ）","a：明显涉嫌洗钱、恐怖融资等犯罪活动的
b：严重危害国家安全或者影响社会稳定的
c：其他情节严重或者情况紧急的情形的
d：正常交易的","a：明显涉嫌洗钱、恐怖融资等犯罪活动的
b：严重危害国家安全或者影响社会稳定的
c：其他情节严重或者情况紧急的情形的"
"单选题","根据《中国人民银行关于规范代收业务的通知》（银发[2020]248号，《中国民生银行收付易业务管理办法》、《网络支付特约商户收单与服务管理办法》等内外制度规范，各分行拓展的（   ）商户，均须在本指引相关要求下拓展业务。","a：一级
b：二级
c：三级
d：一、二级","d：一、二级"
"单选题","根据《银行业从业人员职业操守和行为准则》，银行从业人员的以下做法正确的是（   ）。","a：参与非法吸收公众存款
b：非法向在校学生发放贷款
c：为特定客户优于同等条件办理高端信用卡
d：发现泄密事件，立即采取相关措施","d：发现泄密事件，立即采取相关措施"
"多选题","我行对于哪类名单客户必须要经过分行级高级管理层签字审批后，才可以开户或建立业务关系？（   ）","a：特殊名单
b：外国政要以及其父母、配偶、子女等近亲属及其他关系密切的人员
c：高危国家与地区名单中的“高风险”等级国家/地区的客户
d：灰名单","b：外国政要以及其父母、配偶、子女等近亲属及其他关系密切的人员
c：高危国家与地区名单中的“高风险”等级国家/地区的客户"
"多选题","根据《银行业从业人员职业操守和行为准则》，以下做法错误的是（   ）。","a：销售或推介未经所在机构审批的产品
b：代销未持有金融牌照机构发行的产品
c：针对特定客户非公开销售优于其他同类客户的存款产品
d：严格执行贷前调查、贷时审查和贷后检查等“三查”工作","a：销售或推介未经所在机构审批的产品
b：代销未持有金融牌照机构发行的产品
c：针对特定客户非公开销售优于其他同类客户的存款产品"
